timestamp,timestamp,timestamp,timestamp,seq_num,tick_type,ask_exchange,bid_exchange,bid_price,bid_size,ask_price,ask_size
2021-06-23 08:00:00.000645+00:00,2021-06-23 08:00:00.000645+00:00,2021-06-23 08:00:00.000645+00:00,2021-06-23 08:00:00.000645+00:00,0,Q,EDGX, ,0.0,0,1.3,10
2021-06-23 08:00:00.000645+00:00,2021-06-23 08:00:00.000645+00:00,2021-06-23 08:00:00.000645+00:00,2021-06-23 08:00:00.000645+00:00,1,Q,EDGX,EDGX,1.16,3,1.3,10
2021-06-23 08:00:00.000645+00:00,2021-06-23 08:00:00.000645+00:00,2021-06-23 08:00:00.000645+00:00,2021-06-23 08:00:00.000645+00:00,2,Q,EDGX,EDGX,1.1,5,1.3,10
2021-06-23 08:00:00.000645+00:00,2021-06-23 08:00:00.000645+00:00,2021-06-23 08:00:00.000645+00:00,2021-06-23 08:00:00.000645+00:00,3,Q,EDGX, ,0.0,0,1.97,1
2021-06-23 08:00:08.122849+00:00,2021-06-23 08:00:08.122849+00:00,2021-06-23 08:00:08.122849+00:00,2021-06-23 08:00:08.122849+00:00,4,Q,EDGX,Arca,1.13,1,1.3,10
2021-06-23 08:00:08.123036+00:00,2021-06-23 08:00:08.123036+00:00,2021-06-23 08:00:08.123036+00:00,2021-06-23 08:00:08.123036+00:00,5,Q,Arca,Arca,1.13,1,1.55,10
2021-06-23 08:00:08.124417536+00:00,2021-06-23 08:00:08.124417536+00:00,2021-06-23 08:00:08.124417536+00:00,2021-06-23 08:00:08.124417536+00:00,6,Q,EDGX,Arca,1.16,3,1.5,3
2021-06-23 08:00:08.124530+00:00,2021-06-23 08:00:08.124530+00:00,2021-06-23 08:00:08.124530+00:00,2021-06-23 08:00:08.124530+00:00,7,Q,EDGX,Arca,1.13,1,1.5,3
2021-06-23 08:00:08.125852+00:00,2021-06-23 08:00:08.125852+00:00,2021-06-23 08:00:08.125852+00:00,2021-06-23 08:00:08.125852+00:00,8,Q,EDGX,Arca,1.16,3,1.3,10
2021-06-23 08:00:10.310418688+00:00,2021-06-23 08:00:10.310418688+00:00,2021-06-23 08:00:10.310418688+00:00,2021-06-23 08:00:10.310418688+00:00,9,Q,Arca,Arca,1.16,3,1.17,6
2021-06-23 08:00:15.414592512+00:00,2021-06-23 08:00:15.414592512+00:00,2021-06-23 08:00:15.414592512+00:00,2021-06-23 08:00:15.414592512+00:00,10,Q,Arca,Arca,1.16,3,1.17,4
2021-06-23 08:00:20.534772224+00:00,2021-06-23 08:00:20.534772224+00:00,2021-06-23 08:00:20.534772224+00:00,2021-06-23 08:00:20.534772224+00:00,11,Q,Arca,Arca,1.16,3,1.17,2
2021-06-23 08:01:01.809202688+00:00,2021-06-23 08:01:01.809202688+00:00,2021-06-23 08:01:01.809202688+00:00,2021-06-23 08:01:01.809202688+00:00,12,Q,Arca,Arca,1.16,8,1.17,2
2021-06-23 08:01:02.591071232+00:00,2021-06-23 08:01:02.591071232+00:00,2021-06-23 08:01:02.591071232+00:00,2021-06-23 08:01:02.591071232+00:00,13,Q,Arca,Arca,1.16,3,1.17,2
2021-06-23 08:01:48.216365824+00:00,2021-06-23 08:01:48.216365824+00:00,2021-06-23 08:01:48.216365824+00:00,2021-06-23 08:01:48.216365824+00:00,14,Q,EDGX,Arca,1.16,3,1.3,10
2021-06-23 08:04:01.588172288+00:00,2021-06-23 08:04:01.588172288+00:00,2021-06-23 08:04:01.588172288+00:00,2021-06-23 08:04:01.588172288+00:00,15,Q,EDGX,Arca,1.16,9,1.3,10
2021-06-23 08:21:14.187163904+00:00,2021-06-23 08:21:14.187163904+00:00,2021-06-23 08:21:14.187163904+00:00,2021-06-23 08:21:14.187163904+00:00,16,Q,EDGX,Arca,1.16,12,1.3,10
2021-06-23 08:21:18.366778624+00:00,2021-06-23 08:21:18.366778624+00:00,2021-06-23 08:21:18.366778624+00:00,2021-06-23 08:21:18.366778624+00:00,17,Q,EDGX,Arca,1.2,2,1.3,10
2021-06-23 08:21:20.106908416+00:00,2021-06-23 08:21:20.106908416+00:00,2021-06-23 08:21:20.106908416+00:00,2021-06-23 08:21:20.106908416+00:00,18,Q,EDGX,Arca,1.16,12,1.3,10
2021-06-23 08:24:15.348448256+00:00,2021-06-23 08:24:15.348448256+00:00,2021-06-23 08:24:15.348448256+00:00,2021-06-23 08:24:15.348448256+00:00,19,Q,EDGX,Arca,1.17,1,1.3,10
2021-06-23 08:26:47.457006336+00:00,2021-06-23 08:26:47.457006336+00:00,2021-06-23 08:26:47.457006336+00:00,2021-06-23 08:26:47.457006336+00:00,20,Q,EDGX,Arca,1.17,3,1.3,10
2021-06-23 08:38:55.785169664+00:00,2021-06-23 08:38:55.785169664+00:00,2021-06-23 08:38:55.785169664+00:00,2021-06-23 08:38:55.785169664+00:00,21,Q,EDGX,Arca,1.17,6,1.3,10
2021-06-23 08:52:55.417563648+00:00,2021-06-23 08:52:55.417563648+00:00,2021-06-23 08:52:55.417563648+00:00,2021-06-23 08:52:55.417563648+00:00,22,Q,EDGX,Arca,1.17,11,1.3,10
2021-06-23 09:47:48.542488576+00:00,2021-06-23 09:47:48.542488576+00:00,2021-06-23 09:47:48.542488576+00:00,2021-06-23 09:47:48.542488576+00:00,23,Q,EDGX,Arca,1.17,13,1.3,10
2021-06-23 09:47:49.456938752+00:00,2021-06-23 09:47:49.456938752+00:00,2021-06-23 09:47:49.456938752+00:00,2021-06-23 09:47:49.456938752+00:00,24,Q,EDGX,Arca,1.17,15,1.3,10
2021-06-23 10:54:24.480764928+00:00,2021-06-23 10:54:24.480764928+00:00,2021-06-23 10:54:24.480764928+00:00,2021-06-23 10:54:24.480764928+00:00,25,Q,EDGX,Arca,1.17,13,1.3,10
